"contact","CIN","current_index","difference","total","month","year"
"Scott Franklin","12348060",30671,554,277,8,2025
"Scott Franklin","12348060",30117,511,255.5,7,2025
"Scott Franklin","12348060",29606,542,271,6,2025
"Scott Franklin","12348060",29064,358,179,5,2025
"Scott Franklin","12348060",28706,577,288.5,4,2025
"Scott Franklin","12348060",28129,489,244.5,3,2025
"Scott Franklin","12348060",27640,321,160.5,2,2025
"Scott Franklin","12348060",27319,500,250,1,2025
"Scott Franklin","12348060",26819,389,194.5,12,2024
"Scott Franklin","12348060",26430,397,198.5,11,2024
"Scott Franklin","12348060",26033,488,244,10,2024
"Scott Franklin","12348060",25545,334,167,9,2024
"Scott Franklin","12348060",25211,442,221,8,2024
"Scott Franklin","12348060",24769,434,217,7,2024
"Scott Franklin","12348060",24335,423,211.5,6,2024
"Scott Franklin","12348060",23912,428,214,5,2024
"Scott Franklin","12348060",23484,400,200,4,2024
"Scott Franklin","12348060",23084,422,211,3,2024
"Scott Franklin","12348060",22662,323,161.5,2,2024
"Scott Franklin","12348060",22339,496,248,1,2024
"Scott Franklin","12348060",21843,427,213.5,12,2023
"Scott Franklin","12348060",21416,464,232,11,2023
"Scott Franklin","12348060",20952,454,227,10,2023
"Scott Franklin","12348060",20498,346,173,9,2023
"Scott Franklin","12348060",20152,431,215.5,8,2023
"Scott Franklin","12348060",19721,330,165,7,2023
"Scott Franklin","12348060",19391,470,235,6,2023
"Scott Franklin","12348060",18921,366,183,5,2023
"Scott Franklin","12348060",18555,463,231.5,4,2023
"Scott Franklin","12348060",18092,596,298,3,2023
"Scott Franklin","12348060",17496,502,251,2,2023
"Scott Franklin","12348060",16994,478,239,1,2023
"Scott Franklin","12348060",16516,320,160,12,2022
"Scott Franklin","12348060",16196,431,215.5,11,2022
"Scott Franklin","12348060",15765,495,247.5,10,2022
"Scott Franklin","12348060",15270,438,219,9,2022
"Scott Franklin","12348060",14832,358,179,8,2022
"Scott Franklin","12348060",14474,412,206,7,2022
"Scott Franklin","12348060",14062,549,274.5,6,2022
"Scott Franklin","12348060",13513,520,260,5,2022
"Scott Franklin","12348060",12993,594,297,4,2022
"Scott Franklin","12348060",12399,536,268,3,2022
"Scott Franklin","12348060",11863,353,176.5,2,2022
"Scott Franklin","12348060",11510,432,216,1,2022
"Scott Franklin","12348060",11078,551,275.5,12,2021
"Scott Franklin","12348060",10527,589,294.5,11,2021
"Scott Franklin","12348060",9938,543,271.5,10,2021
"Scott Franklin","12348060",9395,431,215.5,9,2021
"Scott Franklin","12348060",8964,572,286,8,2021
"Scott Franklin","12348060",8392,546,273,7,2021
"Scott Franklin","12348060",7846,404,202,6,2021
"Scott Franklin","12348060",7442,421,210.5,5,2021
"Scott Franklin","12348060",7021,576,288,4,2021
"Scott Franklin","12348060",6445,304,152,3,2021
"Scott Franklin","12348060",6141,515,257.5,2,2021
"Scott Franklin","12348060",5626,300,150,1,2021
"Scott Franklin","12348060",5326,343,171.5,12,2020
"Scott Franklin","12348060",4983,380,190,11,2020
"Scott Franklin","12348060",4603,588,294,10,2020
"Scott Franklin","12348060",4015,576,288,9,2020
"Scott Franklin","12348060",3439,482,241,8,2020
"Scott Franklin","12348060",2957,548,274,7,2020
"Scott Franklin","12348060",2409,546,273,6,2020
"Scott Franklin","12348060",1863,335,167.5,5,2020
"Scott Franklin","12348060",1528,494,247,4,2020
"Scott Franklin","12348060",1034,378,189,3,2020
"Scott Franklin","12348060",656,356,178,2,2020
"Scott Franklin","12348060",300,300,150,1,2020
"Scott Ashley","12348059",30999,458,229,8,2025
"Scott Ashley","12348059",30541,496,248,7,2025
"Scott Ashley","12348059",30045,556,278,6,2025
"Scott Ashley","12348059",29489,386,193,5,2025
"Scott Ashley","12348059",29103,447,223.5,4,2025
"Scott Ashley","12348059",28656,562,281,3,2025
"Scott Ashley","12348059",28094,517,258.5,2,2025
"Scott Ashley","12348059",27577,521,260.5,1,2025
"Scott Ashley","12348059",27056,447,223.5,12,2024
"Scott Ashley","12348059",26609,395,197.5,11,2024
"Scott Ashley","12348059",26214,329,164.5,10,2024
"Scott Ashley","12348059",25885,537,268.5,9,2024
"Scott Ashley","12348059",25348,359,179.5,8,2024
"Scott Ashley","12348059",24989,321,160.5,7,2024
"Scott Ashley","12348059",24668,419,209.5,6,2024
"Scott Ashley","12348059",24249,501,250.5,5,2024
"Scott Ashley","12348059",23748,374,187,4,2024
"Scott Ashley","12348059",23374,399,199.5,3,2024
"Scott Ashley","12348059",22975,365,182.5,2,2024
"Scott Ashley","12348059",22610,595,297.5,1,2024
"Scott Ashley","12348059",22015,514,257,12,2023
"Scott Ashley","12348059",21501,443,221.5,11,2023
"Scott Ashley","12348059",21058,556,278,10,2023
"Scott Ashley","12348059",20502,332,166,9,2023
"Scott Ashley","12348059",20170,372,186,8,2023
"Scott Ashley","12348059",19798,515,257.5,7,2023
"Scott Ashley","12348059",19283,597,298.5,6,2023
"Scott Ashley","12348059",18686,404,202,5,2023
"Scott Ashley","12348059",18282,346,173,4,2023
"Scott Ashley","12348059",17936,472,236,3,2023
"Scott Ashley","12348059",17464,340,170,2,2023
"Scott Ashley","12348059",17124,344,172,1,2023
"Scott Ashley","12348059",16780,443,221.5,12,2022
"Scott Ashley","12348059",16337,531,265.5,11,2022
"Scott Ashley","12348059",15806,441,220.5,10,2022
"Scott Ashley","12348059",15365,550,275,9,2022
"Scott Ashley","12348059",14815,456,228,8,2022
"Scott Ashley","12348059",14359,396,198,7,2022
"Scott Ashley","12348059",13963,322,161,6,2022
"Scott Ashley","12348059",13641,599,299.5,5,2022
"Scott Ashley","12348059",13042,571,285.5,4,2022
"Scott Ashley","12348059",12471,570,285,3,2022
"Scott Ashley","12348059",11901,593,296.5,2,2022
"Scott Ashley","12348059",11308,300,150,1,2022
"Scott Ashley","12348059",11008,395,197.5,12,2021
"Scott Ashley","12348059",10613,401,200.5,11,2021
"Scott Ashley","12348059",10212,373,186.5,10,2021
"Scott Ashley","12348059",9839,438,219,9,2021
"Scott Ashley","12348059",9401,541,270.5,8,2021
"Scott Ashley","12348059",8860,520,260,7,2021
"Scott Ashley","12348059",8340,572,286,6,2021
"Scott Ashley","12348059",7768,426,213,5,2021
"Scott Ashley","12348059",7342,538,269,4,2021
"Scott Ashley","12348059",6804,441,220.5,3,2021
"Scott Ashley","12348059",6363,364,182,2,2021
"Scott Ashley","12348059",5999,501,250.5,1,2021
"Scott Ashley","12348059",5498,491,245.5,12,2020
"Scott Ashley","12348059",5007,586,293,11,2020
"Scott Ashley","12348059",4421,437,218.5,10,2020
"Scott Ashley","12348059",3984,329,164.5,9,2020
"Scott Ashley","12348059",3655,507,253.5,8,2020
"Scott Ashley","12348059",3148,406,203,7,2020
"Scott Ashley","12348059",2742,374,187,6,2020
"Scott Ashley","12348059",2368,547,273.5,5,2020
"Scott Ashley","12348059",1821,543,271.5,4,2020
"Scott Ashley","12348059",1278,387,193.5,3,2020
"Scott Ashley","12348059",891,591,295.5,2,2020
"Scott Ashley","12348059",300,300,150,1,2020
"Sara Palmer","12348058",29143,426,213,8,2025
"Sara Palmer","12348058",28717,403,201.5,7,2025
"Sara Palmer","12348058",28314,483,241.5,6,2025
"Sara Palmer","12348058",27831,594,297,5,2025
"Sara Palmer","12348058",27237,437,218.5,4,2025
"Sara Palmer","12348058",26800,459,229.5,3,2025
"Sara Palmer","12348058",26341,376,188,2,2025
"Sara Palmer","12348058",25965,324,162,1,2025
"Sara Palmer","12348058",25641,332,166,12,2024
"Sara Palmer","12348058",25309,503,251.5,11,2024
"Sara Palmer","12348058",24806,441,220.5,10,2024
"Sara Palmer","12348058",24365,335,167.5,9,2024
"Sara Palmer","12348058",24030,390,195,8,2024
"Sara Palmer","12348058",23640,552,276,7,2024
"Sara Palmer","12348058",23088,553,276.5,6,2024
"Sara Palmer","12348058",22535,389,194.5,5,2024
"Sara Palmer","12348058",22146,427,213.5,4,2024
"Sara Palmer","12348058",21719,493,246.5,3,2024
"Sara Palmer","12348058",21226,424,212,2,2024
"Sara Palmer","12348058",20802,467,233.5,1,2024
"Sara Palmer","12348058",20335,387,193.5,12,2023
"Sara Palmer","12348058",19948,329,164.5,11,2023
"Sara Palmer","12348058",19619,367,183.5,10,2023
"Sara Palmer","12348058",19252,404,202,9,2023
"Sara Palmer","12348058",18848,411,205.5,8,2023
"Sara Palmer","12348058",18437,465,232.5,7,2023
"Sara Palmer","12348058",17972,516,258,6,2023
"Sara Palmer","12348058",17456,526,263,5,2023
"Sara Palmer","12348058",16930,349,174.5,4,2023
"Sara Palmer","12348058",16581,310,155,3,2023
"Sara Palmer","12348058",16271,392,196,2,2023
"Sara Palmer","12348058",15879,390,195,1,2023
"Sara Palmer","12348058",15489,309,154.5,12,2022
"Sara Palmer","12348058",15180,329,164.5,11,2022
"Sara Palmer","12348058",14851,361,180.5,10,2022
"Sara Palmer","12348058",14490,360,180,9,2022
"Sara Palmer","12348058",14130,310,155,8,2022
"Sara Palmer","12348058",13820,564,282,7,2022
"Sara Palmer","12348058",13256,597,298.5,6,2022
"Sara Palmer","12348058",12659,462,231,5,2022
"Sara Palmer","12348058",12197,600,300,4,2022
"Sara Palmer","12348058",11597,369,184.5,3,2022
"Sara Palmer","12348058",11228,522,261,2,2022
"Sara Palmer","12348058",10706,475,237.5,1,2022
"Sara Palmer","12348058",10231,424,212,12,2021
"Sara Palmer","12348058",9807,388,194,11,2021
"Sara Palmer","12348058",9419,309,154.5,10,2021
"Sara Palmer","12348058",9110,490,245,9,2021
"Sara Palmer","12348058",8620,384,192,8,2021
"Sara Palmer","12348058",8236,577,288.5,7,2021
"Sara Palmer","12348058",7659,475,237.5,6,2021
"Sara Palmer","12348058",7184,431,215.5,5,2021
"Sara Palmer","12348058",6753,362,181,4,2021
"Sara Palmer","12348058",6391,477,238.5,3,2021
"Sara Palmer","12348058",5914,433,216.5,2,2021
"Sara Palmer","12348058",5481,314,157,1,2021
"Sara Palmer","12348058",5167,434,217,12,2020
"Sara Palmer","12348058",4733,512,256,11,2020
"Sara Palmer","12348058",4221,592,296,10,2020
"Sara Palmer","12348058",3629,499,249.5,9,2020
"Sara Palmer","12348058",3130,420,210,8,2020
"Sara Palmer","12348058",2710,304,152,7,2020
"Sara Palmer","12348058",2406,588,294,6,2020
"Sara Palmer","12348058",1818,396,198,5,2020
"Sara Palmer","12348058",1422,371,185.5,4,2020
"Sara Palmer","12348058",1051,435,217.5,3,2020
"Sara Palmer","12348058",616,316,158,2,2020
"Sara Palmer","12348058",300,300,150,1,2020
"Sarah Stewart","12348057",29271,599,299.5,8,2025
"Sarah Stewart","12348057",28672,303,151.5,7,2025
"Sarah Stewart","12348057",28369,375,187.5,6,2025
"Sarah Stewart","12348057",27994,354,177,5,2025
"Sarah Stewart","12348057",27640,424,212,4,2025
"Sarah Stewart","12348057",27216,380,190,3,2025
"Sarah Stewart","12348057",26836,509,254.5,2,2025
"Sarah Stewart","12348057",26327,568,284,1,2025
"Sarah Stewart","12348057",25759,577,288.5,12,2024
"Sarah Stewart","12348057",25182,521,260.5,11,2024
"Sarah Stewart","12348057",24661,494,247,10,2024
"Sarah Stewart","12348057",24167,303,151.5,9,2024
"Sarah Stewart","12348057",23864,437,218.5,8,2024
"Sarah Stewart","12348057",23427,438,219,7,2024
"Sarah Stewart","12348057",22989,488,244,6,2024
"Sarah Stewart","12348057",22501,455,227.5,5,2024
